stock_symbol,stock_price,stock_name
DOLLAR,524.7,Dollar Industries Limited
DOMS,2835,Dolphin Offshore Enterprises (India) Limited
DOLPHIN,540,DOMS Industries Limited
DPABHUSHAN,1858,Donear Industries Limited
DPWIRES,401,D. P. Abhushan Limited
DPSCLTD,18.15,DPSC Limited
DREAMFOLKS,457,D P Wires Limited
DSSL,1266,DRC Systems India Limited
DRREDDY,6694.05,Dreamfolks Services Limited
DRCSYSTEMS,24.21,Dredging Corporation of India Limited
DTIL,257.05,Dr. Reddy's Laboratories Limited
DONEAR,0,Dynacons Systems & Solutions Limited
DREDGECORP,999.45,Dhunseri Tea & Industries Limited
DUCON,8.04,Ducon Infratechnologies Limited
DVL,457.8,Dhunseri Ventures Limited
DWARKESH,67.52,Dwarikesh Sugar Industries Limited
DYNAMATECH,7550.2,Dynamic Cables Limited
ECLERX,2916,Dynamatic Technologies Limited
DYCL,577,Dynemic Products Limited
DYNPRO,435,E2E Networks Limited
EASEMYTRIP,31.66,Easy Trip Planners Limited
ECOSMOBLTY,434.2,eClerx Services Limited
E2E,3850,Ecos (India) Mobility & Hospitality Limited
EDELWEISS,113.81,Edelweiss Financial Services Limited
EIDPARRY,787.3,Educomp Solutions Limited
EDUCOMP,2.09,Eicher Motors Limited
EIFFL,200.05,EID Parry India Limited
EICHERMOT,4798.1,Euro India Fresh Foods Limited
EIHAHOTELS,375,EIH Associated Hotels Limited
EIMCOELECO,2772.35,EIH Limited
EIHOTEL,398.05,Eimco Elecon (India) Limited
EKC,191.6,Everest Kanto Cylinder Limited
ELECON,593.2,Eldeco Housing And Industries Limited
ELGIEQUIP,645.05,Elecon Engineering Company Limited
ELECTCAST,186.5,Electrosteel Castings Limited
ELGIRUBCO,100,Electrotherm (India) Limited
ELIN,216.5,Elgi Equipments Limited
EMAMILTD,698,Elgi Rubber Company Limited
EMAMIPAP,110.1,Elin Electronics Limited
EMAMIREAL,111.38,Emami Limited
EMBDL,129.5,Emami Paper Mills Limited
ELECTHERM,0,Emami Realty Limited
EMCURE,1445.5,Equinox India Developments Limited
EMMBI,133,Emcure Pharmaceuticals Limited
EMIL,205,Electronics Mart India Limited
ELDEHSG,851.1,Emkay Global Financial Services Limited
EMSLIMITED,836.5,Emmbi Industries Limited
EMUDHRA,902.8,EMS Limited
EMKAY,0,eMudhra Limited
ENDURANCE,2376,Endurance Technologies Limited
ENERGYDEV,22.5,Energy Development Company Limited
ENTERO,1386.8,Engineers India Limited
ENIL,197.1,Entertainment Network (India) Limited
ENGINERSIN,184.9,Entero Healthcare Solutions Limited
EPACK,393.95,EPACK Durable Limited
EPIGRAL,2151.2,Epigral Limited
EQUIPPP,22.2,EPL Limited
EPL,269,Equippp Social Impact Technologies Limited
EQUITASBNK,69.57,Equitas Small Finance Bank Limited
ERIS,1329.8,Eris Lifesciences Limited
ESAFSFB,45.4,Eros International Media Limited
ESABINDIA,6197,Esab India Limited
ESCORTS,3744.65,ESAF Small Finance Bank Limited
EROSMEDIA,18.93,Escorts Kubota Limited
ETHOSLTD,2924,Essar Shipping Limited
ESTER,141.55,Integra Essentia Limited
EUREKAFORB,574,Ester Industries Limited
ESSENTIA,3.37,Ethos Limited
ESSARSHPNG,37.72,Eureka Forbes Limited
EUROTEXIND,11.75,Eurotex Industries and Exports Limited
EVEREADY,406.7,Eveready Industries India Limited
EXCELINDUS,1498,Everest Industries Limited
EXCEL,0.74,Excel Realty N Infra Limited
EVERESTIND,967,Excel Industries Limited
EXICOM,313,Exicom Tele-Systems Limited
EXPLEOSOL,1280,Exide Industries Limited
EXXARO,90.1,Expleo Solutions Limited
FACT,884,Exxaro Tiles Limited
EXIDEIND,486,Fertilizers and Chemicals Travancore Limited
FAZE3Q,434.8,Fairchem Organics Limited
FAIRCHEMOR,1146,Faze Three Limited
FCL,403.75,Fineotex Chemical Limited
FCSSOFT,3.31,Future Consumer Limited
FEDERALBNK,192.75,FCS Software Solutions Limited
FCONSUMER,0.49,FDC Limited
FDC,536.5,The Federal Bank  Limited
FEL,0.78,Fedbank Financial Services Limited
FIEMIND,1604,Future Enterprises Limited
FEDFINA,109.15,Future Enterprises Limited
FELDVR,5.32,Fiberweb (India) Limited
FIBERWEB,41.37,Fiem Industries Limited
FILATEX,55.58,Filatex India Limited
FINEORG,4925.15,Filatex Fashions Limited
FILATFASH,1.11,Finolex Cables Limited
FINOPB,407.5,Fine Organic Industries Limited
FINCABLES,1280.05,Fino Payments Bank Limited
FINPIPE,320,Finolex Industries Limited
FLAIR,292.6,Brainbees Solutions Limited
FIRSTCRY,664.9,Five-Star Business Finance Limited
FLEXITUFF,71.79,Flair Writing Industries Limited
FIVESTAR,872.45,Flexituff Ventures International Limited
FLFL,2.28,Future Lifestyle Fashions Limited
FMNL,13.44,Gujarat Fluorochemicals Limited
FLUOROCHEM,4809,Federal-Mogul Goetze (India) Limited.
FMGOETZE,416,Future Market Networks Limited
FORCEMOT,6775,Focus Lighting and Fixtures Limited
FORTIS,603.35,Foods & Inns Limited
FOCUS,0,FORCE MOTORS LTD
FOSECOIND,4561,Fortis Healthcare Limited
FOODSIN,126.26,Foseco India Limited
FSC,1.92,Future Supply Chain Solutions Limited
GABRIEL,432,Firstsource Solutions Limited
FSL,325.3,Fusion Finance Limited
FUSION,201.32,Gabriel India Limited
GAEL,131.48,Gujarat Ambuja Exports Limited
GALAPREC,886,GAIL (India) Limited
GAIL,219.15,Gala Precision Engineering Limited
GALAXYSURF,2915,Galaxy Surfactants Limited
GALLANTT,355.1,Gallantt Ispat Limited
GANDHAR,230.45,Gandhar Oil Refinery (India) Limited
