stock_symbol,stock_price,stock_name
SUPRIYA,540,Supreme Infrastructure India Limited
SURAJEST,777,Supriya Lifescience Limited
SUPREMEINF,127.24,Suraj Estate Developers Limited
SURYALAXMI,86.24,Suraj Limited
SUVEN,122.7,Surana Solar Limited
SURANAT&P,22.17,Surana Telecom and Power Limited
SUTLEJTEX,61.7,Suryalakshmi Cotton Mills Limited
SUULD,4.65,Surya Roshni Limited
SURYODAY,165.95,Suryoday Small Finance Bank Limited
SURANASOL,58.1,Sutlej Textiles and Industries Limited
SURYAROSNI,652.65,Suumaya Industries Limited
SUVENPHAR,1273.5,Suven Life Sciences Limited
SURAJLTD,455,Suven Pharmaceuticals Limited
SWANENERGY,519.1,Suvidhaa Infoserve Limited
SUZLON,70.6,Suyog Telematics Limited
SVLL,293.55,Suzlon Energy Limited
SUVIDHAA,5.15,Shree Vasu Logistics Limited
SUYOG,1670.1,SVP GLOBAL TEXTILES LIMITED
SWELECTES,1119.8,Swan Energy Limited
SWSOLAR,617.1,Swaraj Engines Limited
SWARAJENG,2924,Swelect Energy Systems Limited
SVPGLOB,6.19,Sterling and Wilson Renewable Energy Limited
SYMPHONY,1695.5,Symphony Limited
SYNGENE,854.1,Syncom Formulations (India) Limited
SYNCOMF,19.95,Syngene International Limited
SYRMA,400.2,Syrma SGS Technology Limited
TAJGVK,300,Tainwala Chemical and Plastic (I) Limited
TAINWALCHM,280.75,Taj GVK Hotels & Resorts Limited
TAKE,17.85,Take Solutions Limited
TARAPUR,0,Talbros Automotive Components Limited
TALBROAUTO,293.45,Tanla Platforms Limited
TARIL,814.8,Tara Chand InfraLogistic Solutions Limited
TANLA,807,Tarapur Transformers Limited
TATACHEM,1183.55,TARC Limited
TARSONS,410,Transformers And Rectifiers (India) Limited
TASTYBITE,12776,Tarmat Limited
TARACHAND,362,Tarsons Products Limited
TARC,246.3,Tasty Bite Eatables Limited
TARMAT,80.32,Tata Chemicals Limited
TATAMOTORS,902.75,Tata Communications Limited
TATAPOWER,453.7,TATA CONSUMER PRODUCTS LIMITED
TATAELXSI,7390,Tata Elxsi Limited
TATASTEEL,155,Tata Investment Corporation Limited
TATACOMM,1855,Tata Motors Limited
TATATECH,1051.25,Tata Power Company Limited
TATACONSUM,1015.9,Tata Steel Limited
TBOTEK,1668,Tata Technologies Limited
TATVA,966.15,Tatva Chintan Pharma Chem Limited
TATAINVEST,7051.3,TBO Tek Limited
TBZ,297,Tribhovandas Bhimji Zaveri Limited
TCI,1044,Transport Corporation of India Limited
TCIEXP,1013.9,TCI Express Limited
TCPLPACK,3400,TCI Finance Limited
TCIFINANCE,0,Tantia Constructions Limited
TECHIN,42.04,TCPL Packaging Limited
TECHM,1695.2,Tata Consultancy Services Limited
TCS,4071,TD Power Systems Limited
TEAMLEASE,2986,Teamlease Services Limited
TCLCONS,0,Techindia Nirman Limited
TECHNOE,1648.95,Tech Mahindra Limited
TDPOWERSYS,414,Techno Electric & Engineering Company Limited
TEGA,1813.75,TECIL Chemicals and Hydro Power Limited
TEJASNET,1322,Tega Industries Limited
TERASOFT,81.12,Tejas Networks Limited
TECILCHEM,24.3,Tembo Global Industries Limited
TEMBO,0,Tera Software Limited
TEXMOPIPES,73.91,Texmaco Infrastructure & Holdings Limited
TEXRAIL,199,Texmo Pipes and Products Limited
TEXINFRA,112.01,Texmaco Rail & Engineering Limited
TFCILTD,146.7,Tourism Finance Corporation of India Limited
THANGAMAYL,2320,Transwarranty Finance Limited
TFL,32.95,TGB Banquets And Hotels Limited
TGBHOTELS,15.3,Thangamayil Jewellery Limited
THEINVEST,217.35,The Investment Trust Of India Limited
THEJO,2242.5,Thejo Engineering Limited
THOMASCOOK,189.89,Themis Medicare Limited
THEMISMED,273.8,Thermax Limited
THYROCARE,903,Thomas Cook  (India)  Limited
THERMAX,5128.8,Thomas Scott (India) Limited
TIL,354,Thyrocare Technologies Limited
THOMASCOTT,258.23,Tilaknagar Industries Limited
TI,292.3,Technocraft Industries (India) Limited
TIJARIA,0,Tube Investments of India Limited
TIMESGTY,130.26,Tijaria Polypipes Limited
TIMETECHNO,451.6,TIL Limited
TIPSMUSIC,773,Times Guaranty Limited
TIINDIA,4373.55,Time Technoplast Limited
TIIL,3082.85,Timken India Limited
TIMKEN,3633.95,Tips Films Limited
TIRUPATIFL,36.79,Tips Music Limited
TIRUMALCHM,302,Thirumalai Chemicals Limited
TNPL,192.78,Tirupati Forge Limited
TITAN,3355,TITAGARH RAIL SYSTEMS LIMITED
TMB,437.95,Titan Company Limited
TIPSFILMS,600,Tamilnad Mercantile Bank Limited
TITAGARH,1145,Tamilnadu PetroProducts Limited
TNTELE,9.65,Tamil Nadu Newsprint & Papers Limited
TOKYOPLAST,117.37,Tamilnadu Telecommunication Limited
TNPETRO,84.38,Tokyo Plast International Limited
TOLINS,180.4,Tolins Tyres Limited
TORNTPHARM,3393.95,Torrent Pharmaceuticals Limited
TOTAL,82.25,Torrent Power Limited
TORNTPOWER,1958.05,Total Transport Systems Limited
TOUCHWOOD,150.18,Touchwood Entertainment Limited
TPHQ,1.4,Teamo Productions HQ Limited
TPLPLASTEH,101.21,TPL Plastech Limited
TREEHOUSE,19.61,Tracxn Technologies Limited
TRACXN,83.7,Tree House Education & Accessories Limited
TRIDENT,34,TREJHARA SOLUTIONS LIMITED
TRENT,7632,Transindia Real Estate Limited
TRF,490.25,Trent Limited
TREL,40,TRF Limited
TRIGYN,119.9,Trident Limited
TREJHARA,249.9,Trigyn Technologies Limited
TRITURBINE,765.85,Triveni Turbine Limited
TTKHLTCARE,1620,Triveni Engineering & Industries Limited
TRIVENI,409,TruCap Finance Limited
TVSHLTD,14000,TTK Healthcare Limited
TRU,27.1,TTK Prestige Limited
TTKPRESTIG,878.85,T T Limited
TTL,126.58,Tata Teleservices (Maharashtra) Limited
TTML,77.48,TVS Electronics Limited
TVSMOTOR,2741.05,TVS Holdings Limited
TVSELECT,381,TVS Motor Company Limited
TVSSCS,182.53,TVS Supply Chain Solutions Limited
TVSSRICHAK,4014.85,TVS Srichakra Limited
UDAICEMENT,30.16,TV Today Network Limited
TVTODAY,218.4,TV Vision Limited
TVVISION,18.25,United Breweries Limited
UCAL,176.01,UCAL LIMITED
UCOBANK,46.2,UCO Bank
UBL,1961.45,Udaipur Cement Works Limited
UDS,366.3,Updater Services Limited
UGARSUGAR,80.4,Ujaas Energy Limited
UFLEX,638,UFLEX Limited
UEL,688,UFO Moviez India Limited
UFO,117.49,The Ugar Sugar Works Limited
UGROCAP,246.9,Ugro Capital Limited
UJJIVANSFB,38.41,Ujjivan Small Finance Bank Limited
ULTRACEMCO,10839,UltraTech Cement Limited
UMESLTD,6.57,Uma Exports Limited
UMAEXPORTS,101.2,Umang Dairies Limited
UMANGDAIRY,90,Usha Martin Education & Solutions Limited
UNICHEMLAB,763,Unichem Laboratories Limited
UNIDT,237.4,United Drilling Tools Limited
UNITDSPR,1493.4,Unicommerce Esolutions Limited
UNIPARTS,455.05,Uniphos Enterprises Limited
UNIENTER,174.9,Uniinfo Telecom Services Limited
UNIINFO,37.7,Union Bank of India
UNIONBANK,111.78,Uniparts India Limited
UNIECOM,201.2,United Spirits Limited
UNITECH,10.4,Unitech Limited
UNITEDPOLY,116.8,United Polyfab Gujarat Limited
UNITEDTEA,457,The United Nilgiri Tea Estates Company Limited
UNIVAFOODS,8.79,Univa Foods Limited
UNIVCABLES,659,Univastu India Limited
UPL,543.85,Universal Cables Limited
UNIVASTU,262.95,Universus Photo Imagings Limited
USHAMART,414.3,UNO Minda Limited
URJA,19.5,UPL Limited
UNOMINDA,941,Uravi T and Wedge Lamps Limited
URAVI,468.2,Urja Global Limited
UNIVPHOTO,380.5,Usha Martin Limited
UYFINCORP,30.3,Udayshivakumar Infra Limited
UTTAMSUGAR,327.15,UTI Asset Management Company Limited
UTKARSHBNK,41.95,Utkarsh Small Finance Bank Limited
USK,55.53,Uttam Sugar Mills Limited
VADILALIND,3827.5,U. Y. Fincorp Limited
VAISHALI,18.91,V2 Retail Limited
VAIBHAVGBL,286.6,Vadilal Industries Limited
V2RETAIL,1294,Vaibhav Global Limited
UTIAMC,1274.5,Vaishali Pharma Limited
VAKRANGEE,30.54,Vakrangee Limited
VARDHACRLC,57,Valiant Laboratories Limited
VALIANTLAB,112.4,Valiant Organics Limited
VARROC,554.5,Vardhman Acrylics Limited
VASCONEQ,56.89,Vardhman Polytex Limited
VASWANI,54,Varroc Engineering Limited
VCL,0.84,Vascon Engineers Limited
VBL,579.4,Vaswani Industries Limited
VENKEYS,1841,Varun Beverages Limited
VALIANTORG,417.9,Vaxtex Cotfab Limited
VEDL,474.8,Vedanta Limited
VEEDOL,1995.05,Veedol Corporation Limited
VARDMNPOLY,10.86,Venky's (India) Limited
VENUSREM,344.65,Venus Pipes & Tubes Limited
VENUSPIPES,1815.95,Venus Remedies Limited
VERTOZ,18.86,Veranda Learning Solutions Limited
VERANDA,278.8,Vertoz Limited
VESUVIUS,5770,Vesuvius India Limited
VHL,5303.9,Veto Switchgears And Cables Limited
VHLTD,132,V-Guard Industries Limited
VGUARD,425.5,Vardhman Holdings Limited
VETO,135,Viceroy Hotels Limited
VIKASECO,3.32,Vidhi Specialty Food Ingredients Limited
VIDHIING,467,Vijaya Diagnostic Centre Limited
VIJAYA,970,Viji Finance Limited
VINDHYATEL,2077,Vikas EcoTech Limited
VIJIFIN,2.84,Vikas Lifecare Limited
VINCOFE,133.95,Vimta Labs Limited
VINATIORGA,1925,Vinati Organics Limited
VIKASLIFE,4.61,Vintage Coffee And Beverages Limited
VIMTALABS,557.1,Vindhya Telelinks Limited
VINEETLAB,56.8,Vineet Laboratories Limited
VINYLINDIA,388,Vinny Overseas Limited
VINNY,2.07,Vinyl Chemicals (India) Limited
VIPCLOTHNG,40.56,VIP Clothing Limited
VIRINCHI,30.65,VIP Industries Limited
VISAKAIND,105.1,Vipul Limited
VIPULLTD,33.24,Virinchi Limited
VIPIND,508,Visaka Industries Limited
VISHNU,451.1,Visa Steel Limited
VIVIDHA,1.04,Visesh Infotecnics Limited
VISASTEEL,34.35,Vishnu Chemicals Limited
VISESHINFO,0.38,Vishwaraj Sugar Industries Limited
VISHWARAJ,16.81,Visagar Polytex Limited
VLEGOV,164.7,VL E-Governance & IT Solutions Limited
VMART,4302,VLS Finance Limited
VOLTAS,1813.8,V-Mart Retail Limited
VOLTAMP,13200,Voltamp Transformers Limited
VLSFINANCE,412,Voltas Limited
VSTIND,364.9,Vishnu Prakash R Punglia Limited
VPRPL,314.95,Vraj Iron and Steel Limited
VRAJ,230.4,VRL Logistics Limited
VRLLOG,572.8,Vardhman Special Steels Limited
VSSL,266,VST Industries Limited
WABAG,1707.65,Vibhor Steel Tubes Limited
VSTL,258.5,V.S.T Tillers Tractors Limited
VSTTILLERS,4567.5,Vardhman Textiles Limited
VTL,456.6,VA Tech Wabag Limited
WCIL,143.9,Walchandnagar Industries Limited
WEALTH,1550,Wanbury Limited
WEBELSOLAR,1233,Western Carriers (India) Limited
WEIZMANIND,129.5,Wealth First Portfolio Managers Limited
WALCHANNAG,295,Websol Energy System Limited
WANBURY,249.4,Weizmann Limited
WENDT,15950,Wonder Electricals Limited
WELSPUNLIV,159.8,Welspun Corp Limited
WELINV,982,Welspun Enterprises Limited
WEWIN,71,Welspun Investments and Commercials Limited
WELENT,546.25,Welspun Living Limited
WESTLIFE,875,Wendt (India) Limited
WEL,1475.1,WESTLIFE FOODWORLD LIMITED
WELCORP,713.85,WE WIN LIMITED
WHEELS,768.05,Wheels India Limited
WINDMACHIN,198,Whirlpool of India Limited
WHIRLPOOL,2331.5,Williamson Magor & Company Limited
WILLAMAGOR,37.07,Windlas Biotech Limited
WINDLAS,1002,Windsor Machines Limited
WONDERLA,875.65,Winsome Yarns Limited
WINSOME,3.85,The Western India Plywoods Limited
WIPRO,547.2,Wipro Limited
WOCKPHARMA,1069,Wockhardt Limited
WIPL,192.59,Wonderla Holidays Limited
WSI,136.25,Worth Peripherals Limited
WSTCSTPAPR,587,W S Industries (I) Limited
WORTH,132.06,West Coast Paper Mills Limited
XCHANGING,112.21,Xchanging Solutions Limited
XELPMOC,151.92,Xelpmoc Design And Tech Limited
XPROINDIA,1161,Xpro India Limited
XTGLOBAL,44,Xtglobal Infotech Limited
YAARI,13.6,Yaari Digital Integrated Services Limited
ZAGGLE,432,Yasho Industries Limited
ZEEL,126.02,Yatharth Hospital & Trauma Care Services Limited
YATRA,120.05,Yatra Online Limited
YATHARTH,617.95,Yes Bank Limited
YESBANK,20.93,Yuken India Limited
YUKEN,1193,Zaggle Prepaid Ocean Services Limited
YASHO,1895,Zee Entertainment Enterprises Limited
ZEELEARN,9.86,Zee Learn Limited
ZEEMEDIA,21.95,Zee Media Corporation Limited
ZENITHEXPO,341,Zenith Exports Limited
ZODIAC,573,Zenith Steel Pipes & Industries Limited
ZIMLAB,110,Zensar Technologies Limited
ZENTEC,1857.5,Zen Technologies Limited
ZENSARTECH,680,ZF Commercial Vehicle Control Systems India Limited
ZFCVINDIA,14079,Zim Laboratories Limited
ZENITHSTL,0,Zodiac Energy Limited
ZODIACLOTH,119.34,Zodiac Clothing Company Limited
ZYDUSLIFE,1007.1,Zomato Limited
ZOMATO,265.15,Zota Health Care LImited
ZOTA,609,Zuari Agro Chemicals Limited
ZYDUSWELL,1910.3,ZUARI INDUSTRIES LIMITED
ZUARI,200.5,Zydus Lifesciences Limited
ZUARIIND,371.55,Zydus Wellness Limited
